"Organization Name",""
"CENTRAL WASHINGTON UNIVERSITY",""
"MOUNT HOLYOKE COLLEGE",""
"SOUTH CAROLINA HIV/AIDS COUNCIL",""
"SPRINGFIELD COLLEGE",""
"COLLEGE AT ONEONTA",""
"CHILDREN'S HOSP PITTSBURGH/UPMC HLTH SYS",""
"CONNECTICUT COLLEGE",""
"QUINNIPIAC UNIVERSITY",""
"NATIVE AMERICAN CANCER RESEARCH",""
"LONG ISLAND UNIVERSITY C. W. POST CENTER",""
"CENTRAL NEW YORK RESEARCH CORPORATION",""
"JEFFERSON STATE COMMUNITY COLLEGE",""
"INTERNET SOLUTIONS FOR KIDS, INC.",""
"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER",""
"INSTITUTE FOR MOLECULAR MEDICINE",""
"PROVIDENCE HOSPITAL (MOBILE, AL)",""
"UNIVERSITY OF WISCONSIN WHITEWATER",""
"JAMES MADISON UNIVERSITY",""
"ECOHEALTH ALLIANCE, INC.",""
"ALLAN HANCOCK COLLEGE",""
"CHILDREN'S RESEARCH INSTITUTE",""
"SACRED HEART MEDICAL CENTER",""
"ORDWAY RESEARCH INSTITUTE, INC.",""
"YESHIVA UNIVERSITY",""
"BENEDICT COLLEGE",""
"KRONOS LONGEVITY RESEARCH INSTITUTE",""
"TEXAS A&M UNIVERSITY-COMMERCE",""
"ROOSEVELT UNIVERSITY",""
"UNIVERSITY OF WISCONSIN PARKSIDE",""
"BOSTON BIOMEDICAL RESEARCH INSTITUTE",""
"VIRGINIA STATE UNIVERSITY",""
"MOLECULAR SCIENCES INSTITUTE",""
"FOUNDATION FOR BLOOD RESEARCH",""
"TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR",""
"THE HAMNER INSTITUTES",""
"ROSE-HULMAN INSTITUTE OF TECHNOLOGY",""
"AMERICAN SOCIETY FOR CELL BIOLOGY",""
"SOUTHERN UNIVERSITY AT SHREVEPORT, LA",""
"STEWARD RESEARCH/SPECIALTY PROJECTS CORP",""
"CENTRAL STATE UNIV (WILBERFORCE, OH)",""
"DOWLING COLLEGE",""
"BALDWIN-WALLACE COLLEGE",""
"COLLEGE OF THE HOLY CROSS",""
"VALDOSTA STATE UNIVERSITY",""
"COMMONWEALTH MEDICAL COLLEGE",""
"EAST CENTRAL UNIVERSITY",""
