Organization Name,ORG_CITY,ORG_STATE/ORG_COUNTRY,FY12,FY13,Institution type
BOSTON BIOMEDICAL RESEARCH INSTITUTE,WATERTOWN,MASSACHUSETTS,103,103,NP res inst
LA JOLLA BIOENGINEERING INSTITUTE,SAN DIEGO,CALIFORNIA,85,100,NP res inst
ROSWELL PARK CANCER INSTITUTE CORP,BUFFALO,NEW YORK,99.9,99.9,Hosp
LA JOLLA INFECTIOUS DISEASE INSTITUTE,SAN DIEGO,CALIFORNIA,97,97,NP res inst
SCHEPENS EYE RESEARCH INSTITUTE,BOSTON,MASSACHUSETTS,97,97,NP res inst
SANFORD-BURNHAM MEDICAL RESEARCH INSTIT,LA JOLLA,CALIFORNIA,94.2,95,NP res inst
WHITEHEAD INSTITUTE FOR BIOMEDICAL RES,CAMBRIDGE,MASSACHUSETTS,95,95,NP res inst
"TRUDEAU INSTITUTE, INC.",SARANAC LAKE,NEW YORK,88,95,NP res inst
SEATTLE CHILDREN'S HOSPITAL,SEATTLE,WASHINGTON,94,95,Hosp
SALK INSTITUTE FOR BIOLOGICAL STUDIES,LA JOLLA,CALIFORNIA,92,94,NP res inst
BUCK INSTITUTE FOR RESEARCH ON AGING,NOVATO,CALIFORNIA,94,94,NP res inst
HAUPTMAN-WOODWARD MEDICAL RESEARCH INST,BUFFALO,NEW YORK,94,94,NP res inst
FORSYTH INSTITUTE,Cambridge,MASSACHUSETTS,99,92,NP res inst
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,PHOENIX,ARIZONA,92,92,Hosp
J. DAVID GLADSTONE INSTITUTES,SAN FRANCISCO,CALIFORNIA,91,91,NP res inst
MAX PLANCK FLORIDA CORPORATION,JUPITER,FLORIDA,90,90,NP res inst
VAN ANDEL RESEARCH INSTITUTE,GRAND RAPIDS,MICHIGAN,90,90,NP res inst
SCRIPPS RESEARCH INSTITUTE,LA JOLLA,CALIFORNIA,89.5,89.5,NP res inst
VGTI FLORIDA,PORT SAINT LUCIE,FLORIDA,89,89,NP res inst
SCRIPPS FLORIDA,JUPITER,FLORIDA,98,89,NP res inst
COLD SPRING HARBOR LABORATORY,COLD SPRING HARBOR,NEW YORK,87,89,NP res inst
"J. CRAIG VENTER INSTITUTE, INC.",ROCKVILLE,MARYLAND,88,88,NP res inst
PUGET SOUND BLOOD CENTER,SEATTLE,WASHINGTON,87,87,NP res inst
TRANSLATIONAL GENOMICS RESEARCH INST,PHOENIX,ARIZONA,86,86,NP res inst
REGENERATIVE RESEARCH FOUNDATION,Rensselaer,NEW YORK,80,85,NP res inst
WISTAR INSTITUTE,PHILADELPHIA,PENNSYLVANIA,85,85,NP res inst
NEW YORK STRUCTURAL BIOLOGY CENTER,NEW YORK,NEW YORK,85,85,NP res inst
UNIVERSIDAD DEL ESTE,CAROLINA,PUERTO RICO,81,85,Higher Ed
PACIFIC NORTHWEST RESEARCH INSTITUTE,SEATTLE,WASHINGTON,84.5,84.5,NP res inst
SEATTLE BIOMEDICAL RESEARCH INSTITUTE,SEATTLE,WASHINGTON,72.5,84,NP res inst
INSTITUTE FOR SYSTEMS BIOLOGY,SEATTLE,WASHINGTON,84,83,NP res inst
LONG ISLAND UNIVERSITY C. W. POST CENTER,GREENVALE,NEW YORK,80,80,Higher Ed
MASS COLLEGE OF PHARM HEALTH SCIENCES,BOSTON,MASSACHUSETTS,80,80,Higher Ed
THE HAMNER INSTITUTES,RESEARCH TRIANGLE PARK,NORTH CAROLINA,80,80,NP res inst
CALIFORNIA INSTITUTE FOR MEDICAL RES,SAN JOSE,CALIFORNIA,80.5,79.9,NP res inst
STATE COLLEGE OF OPTOMETRY,NEW YORK,NEW YORK,79.5,79.5,Higher Ed
TEXAS BIOMEDICAL RESEARCH INSTITUTE,SAN ANTONIO,TEXAS,79.1,79.1,NP res inst
PONCE SCHOOL OF MEDICINE,PONCE,PUERTO RICO,79,79,Higher Ed
FOX CHASE CANCER CENTER,PHILADELPHIA,PENNSYLVANIA,77.5,78.5,NP res inst
HOUSE RESEARCH INSTITUTE,LOS ANGELES,CALIFORNIA,78.5,78.5,NP res inst
SUNY COLLEGE AT NEW PALTZ,NEW PALTZ,NEW YORK,78.5,78.5,Higher Ed
SMITH-KETTLEWELL EYE RESEARCH INSTITUTE,SAN FRANCISCO,CALIFORNIA,66,78,NP res inst
