Organization Name,Direct Cost,Indirect Cost,Funding
RBHS-NEW JERSEY MEDICAL SCHOOL,25667553,10894384,36292336
UNIVERSITY OF SOUTHERN MISSISSIPPI,3145000,932325,4077325
ARKANSAS CHILDREN'S HOSPITAL RES INST,3004559,1035972,4040531
"NOVOBIOTIC PHARMACEUTICALS, LLC",0,0,1299624
UNIVERSITY OF TORONTO,1730259,122959,1853218
SCIENTIFIC ANALYSIS CORPORATION,1224607,566283,1790890
"INTERNATIONAL UNION, UAW OF AMER AFL-CIO",728071,0,601607
PARATECHS CORP.,0,0,930875
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,76772419,29778328,104622362
UNIVERSITY OF MISSOURI KANSAS CITY,6415733,2713143,9128876
"INTAN TECHNOLOGIES, LLC",0,0,184817
ADVANCES IN MINERAL METABOLISM,18000,0,18000
NORTHWESTERN UNIVERSITY,29177030,10783489,56490835
"ANGIOMICS, INC.",0,0,99509
"ASTHMA MANAGEMENT SYSTEMS, LLC",0,0,197026
FLORIDA ASSN OF PEDIATRIC TUMOR PROG,542489,21276,503765
SEATTLE PACIFIC UNIVERSITY,290727,112732,403459
MEDICAL COLLEGE OF WISCONSIN,67231567,21925182,88920052
"U.S. DRUG TESTING LABORATORIES, INC.",0,0,162315
"STIMDESIGNS, LLC",0,0,200114
UNIVERSITY OF NORTH CAROLINA WILMINGTON,160402,74587,234989
"CUREVEDA, LLC",0,0,149959
"MONTEFIORE MEDICAL CENTER (BRONX, NY)",416147,140092,803826
MARQUETTE UNIVERSITY,2044217,747176,2791393
METROHEALTH MEDICAL CENTER,165420,84314,249734
"DOTY SCIENTIFIC, INC.",0,0,794920
UNIVERSITY OF BRISTOL,396989,22651,419640
SOUTHERN ILLINOIS UNIVERSITY SCH OF MED,3517884,918427,4436311
ARBOR VITA CORPORATION,0,0,1055891
"PRASAN PHARMACEUTICAL CONSULTANTS, LLC",0,0,169959
"GENESEGUES, INC.",0,0,500000
"ORIGINUS, INC.",0,0,428159
STICHTING KATHOLIEKE UNIVERSITEIT,275706,21789,297495
MARSHFIELD CLINIC RESEARCH FOUNDATION,1024966,369334,1394300
SOUTHERN METHODIST UNIVERSITY,952023,322974,1274997
UNIVERSITY OF OKLAHOMA NORMAN,4818279,1751747,6570026
ALZHEIMER'S DRUG DISCOVERY FOUNDATION,62000,0,62000
UNIVERSITY OF CINCINNATI,47291646,16886967,65065239
HELEN HAYES HOSPITAL,583548,288713,872261
"THERMALIN DIABETES, LLC",0,0,2373934
"EUVEDA BIOSCIENCES, INC.",0,0,224914
"FARADAY TECHNOLOGY, INC.",0,0,493482
"CRUCELL HOLLAND, BV",0,0,17677248
"FEMTOFAB, INC.",0,0,390850
FEDERAL UNIVERSITY OF RIO DE JANEIRO,362131,28970,391101
FLORIDA ATLANTIC UNIVERSITY,3468112,1321543,4789655
CENTRE HOSPITALIER UNIVERSITAIRE VAUDOIS,344323,27546,371869
LAHEY CLINIC,215000,62000,273000
TUFTS UNIVERSITY BOSTON,33404495,14367317,48040076
TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,11383974,4295455,15679429
"BIOSTRUXS, LLC",0,0,497155
CENTRAL MICHIGAN UNIVERSITY,586625,233665,817317
"SIRGA ADVANCED BIOPHARMA, INC.",0,0,233059
"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",0,0,149176
NATHAN S. KLINE INSTITUTE FOR PSYCH RES,5451226,2815321,8266547
HEALIONICS CORPORATION,0,0,461247
MEDGAR EVERS COLLEGE,185068,14805,199873
CHICAGO ASSN FOR RESEARCH & EDUC IN SCI,579896,57680,637576
UNIVERSITY OF WYOMING,5305150,2073843,7378993
DENVER HEALTH AND HOSPITAL AUTHORITY,917669,88384,1103869
"CONFOMETRX, INC.",0,0,333000
BENAROYA RESEARCH INST AT VIRGINIA MASON,11645413,5687166,18744020
"THERALOGICS, INC.",0,0,698128
"SHARKLET TECHNOLOGIES,  INC.",0,0,1307703
"DRVISION TECHNOLOGIES, LLC",0,0,983515
MIAMI UNIVERSITY OXFORD,1951353,657704,2609057
"CIMIT ACCELERATOR, LLC",0,0,171198
"CUSTOMKYNETICS, INC.",0,0,459239
HARVARD UNIVERSITY (MEDICAL SCHOOL),137721029,49959175,185223961
ETUBICS CORPORATION,0,0,2098570
"WESTAT, INC.",10675495,2187522,94309220
"SANARIA, INC.",398793,219336,5818050
"STELLARRAY, INC.",0,0,609718
"INNEROPTIC TECHNOLOGY, INC.",0,0,547270
"3D BIOMATRIX, INC.",0,0,34628
MATTEK CORPORATION,160340,58059,1072239
RBHS-SCHOOL OF PUBLIC HEALTH,3040950,440625,3464400
"DERMAXON, LLC",0,0,225000
BIOSURFACES,0,0,490704
SUNNYBROOK & WOMEN'S COLL HLTH SCIS CTR,832495,51957,884452
BLOOD SYSTEMS RESEARCH INSTITUTE,1236326,455599,11044343
"Z LENS, LLC",0,0,216537
"CHESTNUT HEALTH SYSTEMS, INC.",1577982,491497,2069479
ACUITYBIO CORPORATION,0,0,235568
"ARCHIEMD, INC.",0,0,930394
"CIENCIA, INC.",0,0,282394
PROGRAM/APPROPRIATE/TECHNOLOGY/HLTH,1136584,319763,1456347
CENTER/ ENDOCRINOLOGICAL INVESTIGATIONS,41667,3333,45000
"AUST DEVELOPMENT, LLC",0,0,201492
GHESKIO CENTER,1825943,111582,1937525
"PROSOLIA, INC.",0,0,350000
"P2D, INC.",0,0,395476
"GENESEARCH, INC.",0,0,265625
SPECTROS CORPORATION,420879,123531,544410
