Organization Name,Direct Cost,Indirect Cost,Funding
"13THERAPEUTICS, INC.",,,999411
"21ST CENTURY THERAPEUTICS, INC.",,,276418
"23ANDME, INC.",,,805975
"360FRESH, INC.",,,499892
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,,,149998
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,,,152398
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,,,737050
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,,,426446
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,,,554597
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,,,146853
"3D BIOMATRIX, INC.",,,34628
3D MOLECULAR DESIGNS,,,200542
"3DMD, LLC",,,318425
"3DT HOLDINGS, LLC",,,196237
"3DT HOLDINGS, LLC",,,269255
"3DT HOLDINGS, LLC",,,199756
"3P BIOTECHNOLOGIES, INC.",,,45061
"480 BIOMEDICAL, INC.",,,200000
"490 BIOTECH, INC.",,,138191
"A AND G PHARMACEUTICAL, INC.",49812,19925,69737
"A AND G PHARMACEUTICAL, INC.",,,199828
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,193405,15057,208462
"AADI, LLC",,,168928
"AARDEN PHARMACEUTICALS, INC.",,,249269
AARON DIAMOND AIDS RESEARCH CENTER,739137,182499,921636
AARON DIAMOND AIDS RESEARCH CENTER,1154364,436887,1591251
AARON DIAMOND AIDS RESEARCH CENTER,235000,202100,437100
AARON DIAMOND AIDS RESEARCH CENTER,176000,14080,190080
AARON DIAMOND AIDS RESEARCH CENTER,259058,90405,349463
AARON DIAMOND AIDS RESEARCH CENTER,529536,219222,748758
AARON DIAMOND AIDS RESEARCH CENTER,235000,185063,420063
AARON DIAMOND AIDS RESEARCH CENTER,499340,247408,746748
AARON DIAMOND AIDS RESEARCH CENTER,230324,190017,420341
AARON DIAMOND AIDS RESEARCH CENTER,480000,374400,854400
AARON DIAMOND AIDS RESEARCH CENTER,235000,186825,421825
AARON DIAMOND AIDS RESEARCH CENTER,235000,183770,418770
ABEOME CORPORATION,,,275916
"ABLELINK TECHNOLOGIES, INC.",142350,81140,223490
"ABLELINK TECHNOLOGIES, INC.",,,426556
"ABLELINK TECHNOLOGIES, INC.",,,266676
"AC DIAGNOSTICS, INC.",,,299995
ACADEMIC PEDIATRIC ASSOCIATION,132341,10587,142928
ACCEL DIAGNOSTICS,,,168846
"ACCELEREYES, LLC",,,499601
"ACCENTS ON HEALTH, INC.",,,474162
"ACCESSIBLE DESIGNS, INC.",,,477689
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",,,568564
"ACETYLON PHARMACEUTICALS, INC.",,,367972
"ACIONT, INC.",,,1073868
"ACKCO, INC.",,,547852
"ACLARIS MEDICAL, LLC",,,350000
"ACOUSTIC MEDSYSTEMS, INC.",,,177408
"ACPHARIS, INC.",,,149999
"ACTINOBAC BIOMED, INC.",,,108255
"ACTIVESITE PHARMACEUTICALS, INC.",,,699825
"ACTUATED MEDICAL, INC.",,,562961
"ACTUATED MEDICAL, INC.",,,212770
"ACTUATED MEDICAL, INC.",,,862710
"ACTUATED MEDICAL, INC.",,,1000000
"ACTUATED MEDICAL, INC.",,,902610
ACUITYBIO CORPORATION,,,235568
"ACUMEN, LLC",,,149554
"ACUMEN, LLC",,,321150
"ACUMEN, LLC",,,14996
"ADAMAS PHARMACEUTICALS, INC.",75662,52963,128625
ADAPTIVE TCR CORPORATION,,,951199
ADAPTIVE TCR CORPORATION,,,165191
ADAPTIVE TCR CORPORATION,,,266199
"ADARZA BIOSYSTEMS, INC.",,,245912
ADDIS ABABA UNIVERSITY,47619,2381,50000
ADDIS ABABA UNIVERSITY,250934,16094,267028
"ADDIS, INC.",,,818530
ADELPHI UNIVERSITY,150000,21716,171716
ADEPTRIX CORPORATION,,,349034
ADERA,1594971,120681,1715652
"ADHAERE PHARMACEUTICALS, INC.",,,300000
"ADHEREN, INC.",140414,46337,186751
"ADP SILVER DENTAL ARREST, LLC",,,117198
ADVAITA CORPORATION,,,148487
ADVAITA CORPORATION,,,727410
"ADVANCED BIODEVICES, LLC",327007,64349,391356
ADVANCED BIOMEDICAL INFORMATICS GROUP,,,215228
"ADVANCED BIOMEDICAL MACHINES, INC.",,,191250
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,1685828
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,361047
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,125257
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,734103
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,625247
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,160797
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,2066824
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,137283
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,474656
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,5140196
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,2189062
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,192204
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,2803254
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,90915
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,1397939
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,1136533
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,269544
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,9554988
