"Organization Name","ORG_CITY","ORG_STATE/ORG_COUNTRY","FY12","FY13","Institution type","Organization Name","Direct Cost","Indirect Cost","Funding","Calculated Indirect cost"
"BOSTON BIOMEDICAL RESEARCH INSTITUTE","WATERTOWN","MASSACHUSETTS","103","103","NP res inst","BOSTON BIOMEDICAL RESEARCH INSTITUTE",0,0,0,0
"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","PHOENIX","ARIZONA","92","92","Hosp","ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER",0,0,0,0
"LONG ISLAND UNIVERSITY C. W. POST CENTER","GREENVALE","NEW YORK","80","80","Higher Ed","LONG ISLAND UNIVERSITY C. W. POST CENTER",0,0,0,0
"MASS COLLEGE OF PHARM HEALTH SCIENCES","BOSTON","MASSACHUSETTS","80","80","Higher Ed","MASS COLLEGE OF PHARM HEALTH SCIENCES",0,0,0,0
"THE HAMNER INSTITUTES","RESEARCH TRIANGLE PARK","NORTH CAROLINA","80","80","NP res inst","THE HAMNER INSTITUTES",0,0,0,0
"CALIFORNIA INSTITUTE FOR MEDICAL RES","SAN JOSE","CALIFORNIA","80.5","79.9","NP res inst","CALIFORNIA INSTITUTE FOR MEDICAL RES",0,0,0,0
"SUNY COLLEGE AT NEW PALTZ","NEW PALTZ","NEW YORK","78.5","78.5","Higher Ed","SUNY COLLEGE AT NEW PALTZ",0,0,0,0
"INSTITUTE FOR MOLECULAR MEDICINE","HUNTINGTON BEACH","CALIFORNIA","77.2","77.2","NP res inst","INSTITUTE FOR MOLECULAR MEDICINE",0,0,0,0
"SPRINGFIELD COLLEGE","SPRINGFIELD","MASSACHUSETTS","76.4","76.4","Higher Ed","SPRINGFIELD COLLEGE",0,0,0,0
"MOLECULAR SCIENCES INSTITUTE","BERKELEY","CALIFORNIA","75","75","NP res inst","MOLECULAR SCIENCES INSTITUTE",0,0,0,0
"UNIVERSIDAD METROPOLITANA","SAN JUAN","PUERTO RICO","70","75","Higher Ed","UNIVERSIDAD METROPOLITANA",0,0,0,0
